"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"

,ZONE INSCRIPT,"FRANCE ENTIERE","FRANCE Métropolitaine","DROM","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Guadeloupe","Guyane","Hauts-de-France","Ile-de-France","La Réunion","Martinique","Mayotte","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d’Azur","01 - Ain","02 - Aisne","03 - Allier","04 - Alpes-de-Haute-Provence","05 - Hautes-Alpes","06 - Alpes-Maritimes","07 - Ardèche","08 - Ardennes","09 - Ariège","10 - Aube","11 - Aude","12 - Aveyron","13 - Bouches-du-Rhône","14 - Calvados","15 - Cantal","16 - Charente","17 - Charente-Maritime","18 - Cher","19 - Corrèze","2A - Corse-du-Sud","2B - Haute-Corse","21 - Côte-d’Or","22 - Côtes-d’Armor","23 - Creuse","24 - Dordogne","25 - Doubs","26 - Drôme","27 - Eure","28 - Eure-et-Loir","29 - Finistère","30 - Gard","31 - Haute-Garonne","32 - Gers","33 - Gironde","34 - Hérault","35 - Ille-et-Vilaine","36 - Indre","37 - Indre-et-Loire","38 - Isère","39 - Jura","40 - Landes","41 - Loir-et-Cher","42 - Loire","43 - Haute-Loire","44 - Loire-Atlantique","45 - Loiret","46 - Lot","47 - Lot-et-Garonne","48 - Lozère","49 - Maine-et-Loire","50 - Manche","51 - Marne","52 - Haute-Marne","53 - Mayenne","54 - Meurthe-et-Moselle","55 - Meuse","56 - Morbihan","57 - Moselle","58 - Nièvre","59 - Nord","60 - Oise","61 - Orne","62 - Nord-Pas-de-Calais","63 - Puy-de-Dôme","64 - Pyrénées-Atlantiques","65 - Hautes-Pyrénées","66 - Pyrénées-Orientales","67 - Bas-Rhin","68 - Haut-Rhin","69 - Rhône","70 - Haute-Saône","71 - Saône-et-Loire","72 - Sarthe","73 - Savoie","74 - Haute-Savoie","75 - Paris","76 - Seine-Maritime","77 - Seine-et-Marne","78 - Yvelines","79 - Deux-Sèvres","80 - Somme","81 - Tarn","82 - Tarn-et-Garonne","83 - Var","84 - Vaucluse","85 - Vendée","86 - Vienne","87 - Haute-Vienne","88 - Vosges","89 - Yonne","90 - Territoire de Belfort","91 - Essonne","92 - Hauts-de-Seine","93 - Seine-Saint-Denis","94 - Val-de-Marne","95 - Val-d’Oise","971 - Guadeloupe","972 - Martinique","973 - Guyane","974 - La Réunion","976 - Mayotte"
"Néphrologie","Ensemble des modes d'exercice",1782,1709,73,210,69,78,57,7,148,15,7,136,389,38,11,2,82,132,160,89,152,7,10,10,5,2,34,6,4,3,5,11,2,63,18,1,7,12,3,5,3,4,17,8,0,4,14,14,4,9,27,19,46,3,46,45,26,3,21,28,7,4,6,26,6,35,15,2,3,1,25,12,17,1,5,30,3,17,21,3,73,8,6,26,16,17,4,14,42,22,72,2,16,13,9,15,195,42,20,21,6,19,5,5,27,21,11,14,14,3,6,4,16,35,35,49,18,15,11,7,38,2
"Néphrologie","Libéraux exclusifs",308,287,21,20,2,1,15,1,15,6,2,18,61,10,3,0,10,33,49,8,54,0,0,1,4,0,7,0,0,0,2,4,0,27,3,1,0,0,0,0,1,0,1,0,0,4,0,0,0,2,1,3,13,0,16,12,0,3,2,0,0,0,4,0,0,2,4,0,0,1,5,0,0,0,0,5,0,0,1,0,8,2,0,5,0,13,0,6,3,3,18,0,1,1,0,0,13,7,9,4,0,3,5,5,9,7,0,0,0,1,0,0,6,13,5,7,4,6,3,2,10,0
"Néphrologie","Mixtes",224,216,8,16,5,3,9,2,24,2,0,29,82,2,4,0,2,5,12,0,27,3,4,1,0,0,14,0,1,0,0,0,0,8,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,1,2,2,0,4,6,0,0,2,0,0,0,1,1,2,0,3,0,0,0,0,0,0,1,0,1,0,2,8,0,12,3,0,7,0,0,1,1,8,3,4,0,1,0,0,5,27,1,5,6,0,3,0,0,4,1,0,1,0,2,2,0,5,6,17,8,8,2,4,0,2,0
"Néphrologie","Salariés hospitaliers",1047,1015,32,141,60,55,29,4,93,7,4,87,223,19,1,1,62,80,73,56,52,4,5,8,1,2,12,5,3,2,3,7,2,24,14,0,7,10,2,5,2,2,12,7,0,0,14,8,3,3,21,7,26,3,22,16,15,0,16,21,7,3,1,21,4,23,7,2,3,0,17,10,14,0,2,18,3,12,11,3,52,3,6,14,11,4,2,6,26,15,40,2,14,6,9,10,142,29,6,10,4,13,0,0,5,8,8,11,11,0,4,4,5,14,8,33,5,7,1,4,19,1
"Néphrologie","Autres salariés",203,191,12,33,2,19,4,0,16,0,1,2,23,7,3,1,8,14,26,25,19,0,1,0,0,0,1,1,0,1,0,0,0,4,0,0,0,2,0,0,0,0,2,1,0,0,0,6,1,2,4,7,5,0,4,11,11,0,1,7,0,1,0,4,0,10,1,0,0,0,3,2,3,0,3,6,0,3,1,0,1,0,0,0,5,0,1,1,5,1,10,0,0,6,0,0,13,5,0,1,2,0,0,0,9,5,3,2,3,0,0,0,0,2,5,1,1,0,3,1,7,1
"Neurochirurgie","Ensemble des modes d'exercice",587,570,17,86,25,22,18,4,45,5,1,42,123,6,5,0,27,44,62,27,45,0,0,0,0,0,12,0,0,0,0,0,0,30,13,0,2,1,0,0,0,4,11,0,0,0,9,3,0,0,9,8,27,0,15,23,12,0,13,13,0,0,0,15,1,14,5,0,0,0,12,0,8,0,0,14,0,1,2,0,29,0,0,3,11,11,0,4,12,9,33,0,4,1,2,8,81,14,2,2,0,10,0,0,3,0,0,8,7,0,1,0,1,14,1,20,2,5,5,1,6,0
"Neurochirurgie","Libéraux exclusifs",139,137,2,21,7,4,3,1,10,1,0,13,21,1,0,0,8,10,21,5,13,0,0,0,0,0,1,0,0,0,0,0,0,11,6,0,2,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,12,0,2,7,3,0,2,1,0,0,0,4,0,1,1,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,0,2,0,3,0,2,3,3,10,0,3,1,2,4,15,2,1,2,0,2,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,1,0,0,1,0
"Neurochirurgie","Mixtes",94,92,2,9,6,5,3,1,13,2,0,5,14,0,0,0,4,11,11,4,6,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,2,5,1,0,1,5,3,0,3,2,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,4,0,0,1,0,3,0,0,0,3,6,0,0,1,4,4,0,0,0,0,0,11,2,1,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,2,0,0,0,0
"Neurochirurgie","Salariés hospitaliers",343,330,13,55,12,13,12,2,21,2,1,23,84,5,5,0,15,22,27,18,26,0,0,0,0,0,7,0,0,0,0,0,0,17,5,0,0,0,0,0,0,2,7,0,0,0,4,3,0,0,6,3,14,0,11,8,6,0,8,10,0,0,0,11,1,10,4,0,0,0,8,0,5,0,0,6,0,1,1,0,17,0,0,1,8,2,0,2,7,2,18,0,1,0,0,4,52,10,0,0,0,5,0,0,2,0,0,6,3,0,0,0,0,12,0,19,1,2,5,1,5,0
"Neurochirurgie","Autres salariés",11,11,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Neurologie","Ensemble des modes d'exercice",2648,2598,50,316,106,122,64,8,188,12,3,245,642,25,10,0,111,232,247,106,211,11,15,12,2,5,56,6,2,3,8,13,8,110,31,3,5,24,6,6,3,5,30,17,1,10,29,23,6,12,36,22,74,6,78,65,46,2,25,49,5,10,5,24,5,45,14,6,7,0,38,13,15,4,6,35,0,23,26,3,136,17,4,46,23,32,9,15,64,29,116,5,17,8,16,28,347,57,15,43,9,31,18,8,24,14,9,25,25,5,9,8,24,59,40,76,38,12,10,3,25,0
"Neurologie","Libéraux exclusifs",498,481,17,64,17,20,12,2,40,3,1,44,75,9,4,0,11,44,61,29,62,1,3,0,1,3,18,3,0,1,1,2,1,26,3,1,1,5,0,1,0,2,2,1,0,1,5,4,0,2,7,4,21,1,20,15,9,0,8,9,0,3,0,6,1,17,2,1,0,0,5,0,5,0,1,6,0,3,5,2,24,3,0,6,5,9,2,3,14,8,23,1,4,3,5,6,25,8,4,10,0,8,7,3,9,5,3,4,0,1,2,1,7,17,4,1,7,3,4,1,9,0
"Neurologie","Mixtes",426,420,6,50,19,17,11,2,22,3,0,27,124,2,1,0,25,40,24,15,44,3,2,4,1,2,9,1,1,1,1,1,1,25,7,0,3,5,3,3,1,1,12,3,0,1,3,2,2,1,6,1,7,1,4,10,6,2,1,5,1,2,2,1,0,4,2,1,4,0,7,3,1,1,1,2,0,2,8,0,13,3,1,7,3,8,0,0,2,4,24,0,0,2,2,5,56,12,3,12,2,2,0,1,5,2,1,4,4,2,1,2,3,14,8,20,8,3,1,0,2,0
"Neurologie","Salariés hospitaliers",1652,1625,27,201,68,82,41,4,121,6,2,156,421,14,5,0,71,143,152,62,103,7,9,8,0,0,28,2,1,1,6,10,6,58,20,2,1,13,3,2,2,2,16,12,1,7,20,17,4,9,22,17,43,4,52,38,30,0,16,35,4,5,3,17,4,24,10,4,3,0,26,10,9,3,4,26,0,18,13,1,82,11,1,33,15,15,4,10,45,17,69,3,13,3,8,17,253,36,8,21,6,21,11,4,10,7,5,17,21,1,6,5,14,23,25,54,23,6,5,2,14,0
"Neurologie","Autres salariés",72,72,0,1,2,3,0,0,5,0,0,18,22,0,0,0,4,5,10,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,2,0,0,0,3,2,3,0,0,1,0,0,1,0,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,0,0,0,0,0,0
"ORL et chirurgie cervico-faciale","Ensemble des modes d'exercice",3040,2973,67,318,104,130,85,14,222,15,3,199,770,35,12,2,149,246,283,131,322,13,15,10,7,9,82,16,5,4,7,5,7,137,38,5,9,25,11,7,9,5,26,17,2,12,25,20,17,13,39,30,86,3,95,86,39,5,27,40,6,15,11,35,6,55,18,7,7,1,33,13,20,5,6,32,7,35,39,6,110,20,10,31,23,31,10,21,62,32,96,4,16,23,21,33,310,71,48,68,11,23,13,10,58,29,14,18,14,13,12,9,46,95,65,86,52,15,12,3,35,2
"ORL et chirurgie cervico-faciale","Libéraux exclusifs",1385,1349,36,153,39,58,43,11,100,7,1,86,241,23,5,0,69,146,159,78,166,8,6,6,3,4,41,8,4,1,3,1,1,58,13,1,5,16,7,3,8,3,9,9,1,9,9,7,5,5,14,17,50,2,60,46,22,3,12,23,5,11,6,16,1,35,10,7,6,0,18,10,3,3,2,12,2,13,17,1,52,8,5,13,15,21,5,13,35,18,40,1,7,14,12,16,70,36,17,32,2,7,7,9,43,17,9,9,3,3,5,2,22,39,21,23,17,7,5,1,23,0
"ORL et chirurgie cervico-faciale","Mixtes",895,885,10,86,42,33,21,3,66,4,1,57,313,3,2,0,31,50,61,23,99,3,8,3,3,3,29,4,1,3,2,3,4,46,10,0,2,4,4,3,1,2,9,7,0,2,8,5,7,4,7,4,18,1,12,18,8,1,8,11,1,3,2,9,5,7,2,0,1,1,9,2,9,1,1,7,2,11,13,4,21,6,3,13,4,7,3,2,18,9,29,3,6,3,7,6,126,9,21,24,5,9,4,0,10,8,3,6,5,4,6,5,17,39,29,36,21,4,2,1,3,0
"ORL et chirurgie cervico-faciale","Salariés hospitaliers",677,657,20,75,19,39,16,0,53,4,1,51,178,8,5,2,47,49,53,29,48,2,1,1,1,2,11,4,0,0,2,0,2,26,15,4,2,5,0,1,0,0,6,1,1,1,8,8,5,4,18,8,17,0,22,17,9,1,5,6,0,1,2,9,0,12,4,0,0,0,6,1,8,1,3,13,3,11,8,0,34,4,2,5,4,3,2,4,7,5,24,0,2,6,2,11,87,24,10,11,4,7,2,1,4,4,2,3,6,6,1,2,6,15,13,24,12,4,5,1,8,2
"ORL et chirurgie cervico-faciale","Autres salariés",83,82,1,4,4,0,5,0,3,0,0,5,38,1,0,0,2,1,10,1,9,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,2,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,2,2,0,3,0,1,0,0,0,27,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,3,2,0,0,0,1,0
"Oncologie option médicale","Ensemble des modes d'exercice",1069,1058,11,125,47,38,27,4,77,2,2,54,330,4,3,0,43,86,76,55,96,2,5,6,2,2,23,3,0,2,1,1,3,49,16,2,2,8,1,1,1,3,12,5,1,2,16,6,4,4,9,5,30,1,38,19,15,3,12,12,1,3,2,13,1,27,5,0,1,1,12,5,12,2,2,16,0,9,14,2,34,7,0,5,17,10,2,3,24,6,48,0,10,7,8,7,117,18,19,13,1,3,7,2,12,8,7,10,9,2,6,0,14,42,14,91,20,2,3,2,4,0
"Oncologie option médicale","Libéraux exclusifs",165,163,2,14,7,7,6,2,14,0,0,14,34,2,0,0,9,12,17,8,19,0,2,0,0,0,8,0,0,0,0,1,0,7,1,1,1,0,0,0,0,2,0,4,0,1,1,1,2,1,3,1,9,0,3,1,0,0,2,0,0,0,1,0,0,4,2,0,0,0,1,1,3,1,1,1,0,0,3,2,10,1,0,1,4,4,1,0,6,0,4,0,2,2,2,2,8,5,1,3,0,0,3,1,4,0,0,0,3,0,2,0,1,10,2,5,4,0,0,0,2,0
"Oncologie option médicale","Mixtes",61,61,0,2,4,3,1,0,7,0,0,4,22,0,0,0,3,3,3,0,9,0,2,0,2,0,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,0,0,0,0,1,1,2,0,1,0,1,0,0,0,9,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,2,2,4,2,0,0,0,0,0
"Oncologie option médicale","Salariés hospitaliers",800,791,9,97,35,28,20,2,55,2,2,32,258,2,3,0,31,68,52,46,67,2,1,6,0,2,11,2,0,2,0,0,3,40,14,1,1,8,1,1,1,1,10,1,1,1,15,5,2,2,6,4,20,1,32,14,14,3,10,11,1,2,1,3,1,23,3,0,0,1,11,4,9,1,0,12,0,7,10,0,20,5,0,4,13,5,0,2,16,5,43,0,6,5,5,5,92,11,17,9,1,2,4,1,6,8,7,10,6,2,3,0,11,25,10,80,14,2,3,2,2,0
"Oncologie option médicale","Autres salariés",43,43,0,12,1,0,0,0,1,0,0,4,16,0,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0
"Ophtalmologie","Ensemble des modes d'exercice",5899,5778,121,691,182,246,162,30,408,30,5,404,1488,52,33,1,218,502,526,301,620,32,27,29,11,11,154,15,11,6,19,28,16,260,57,8,23,46,12,13,16,14,46,39,7,29,32,41,31,21,76,62,145,11,173,132,74,10,55,112,16,34,23,64,13,149,41,8,23,2,67,28,39,6,12,71,8,57,63,15,226,49,19,59,65,64,18,47,110,60,224,9,39,34,36,52,668,83,79,142,16,43,28,23,130,54,39,37,37,21,13,12,84,170,98,153,94,30,33,5,52,1
"Ophtalmologie","Libéraux exclusifs",3750,3659,91,411,112,182,119,23,284,19,5,251,660,43,24,0,159,391,391,233,443,15,12,23,7,5,92,11,7,5,15,26,12,183,44,5,20,38,7,10,11,12,28,30,5,28,24,28,23,17,57,42,93,8,132,100,54,7,40,59,8,29,15,31,5,122,33,7,20,2,47,24,21,4,9,46,5,41,47,11,153,28,11,38,39,58,12,41,87,40,132,3,23,20,25,38,219,57,46,82,11,20,23,20,116,40,35,23,17,12,10,5,54,96,41,65,57,19,24,5,43,0
"Ophtalmologie","Mixtes",1308,1296,12,153,43,40,23,5,86,6,0,96,516,2,4,0,40,61,80,35,118,9,15,2,2,2,48,3,3,1,3,2,2,54,6,1,1,7,3,2,4,1,12,7,1,1,2,5,6,2,11,12,31,3,21,19,13,1,7,31,7,3,6,20,5,13,4,1,1,0,9,3,12,2,2,17,1,9,12,4,36,13,5,13,11,3,1,3,15,14,49,2,9,8,6,11,252,20,27,44,5,19,2,3,5,7,3,8,8,7,2,5,28,53,33,53,26,6,4,0,2,0
"Ophtalmologie","Salariés hospitaliers",586,569,17,78,23,21,19,2,28,5,0,41,196,6,5,1,19,37,36,32,37,0,0,4,1,3,9,1,0,0,0,0,0,14,7,2,2,1,2,1,1,1,6,2,1,0,6,8,2,2,7,6,13,0,12,7,6,2,8,13,0,1,2,13,3,14,3,0,1,0,11,1,4,0,1,6,2,6,3,0,24,8,3,5,8,2,5,2,7,4,19,4,4,5,4,3,128,6,6,6,0,4,3,0,7,3,1,4,12,2,1,2,1,9,14,25,7,5,5,0,6,1
"Ophtalmologie","Autres salariés",255,254,1,49,4,3,1,0,10,0,0,16,116,1,0,0,0,13,19,1,22,8,0,0,1,1,5,0,1,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,8,6,1,0,0,9,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,1,1,0,13,0,0,3,7,1,0,1,1,2,24,0,3,1,1,0,69,0,0,10,0,0,0,0,2,4,0,2,0,0,0,0,1,12,10,10,4,0,0,0,1,0
"Pédiatrie","Ensemble des modes d'exercice",8205,7902,303,931,247,338,238,26,617,50,35,632,2334,150,47,21,329,525,656,315,714,31,46,13,9,14,171,21,16,13,17,24,19,367,97,6,17,52,16,13,13,13,71,42,7,22,72,46,15,25,98,59,222,12,203,183,134,9,108,158,12,28,20,85,6,155,60,7,21,3,87,35,69,10,13,133,10,64,82,10,343,68,23,110,82,66,18,48,164,84,348,8,37,39,55,80,927,159,126,200,14,65,30,18,101,52,21,46,36,32,20,17,130,341,195,275,140,50,47,35,150,21
"Pédiatrie","Libéraux exclusifs",2110,2026,84,242,41,91,57,12,164,19,3,99,572,45,16,1,63,140,215,78,252,9,9,0,3,2,62,7,4,3,2,10,2,117,20,1,2,13,3,3,6,6,9,12,1,5,12,11,1,2,25,19,77,3,71,59,41,1,32,47,2,8,6,16,0,39,13,2,4,1,23,0,10,0,2,30,1,13,25,2,57,14,5,10,18,22,6,12,56,27,97,0,5,12,15,21,162,37,37,78,0,9,11,10,47,21,2,7,4,9,8,3,44,117,33,69,32,19,16,3,45,1
"Pédiatrie","Mixtes",1046,1037,9,123,39,32,26,3,93,2,1,66,334,3,3,0,41,63,93,26,98,7,7,1,3,0,26,3,1,1,3,2,3,58,18,1,3,3,5,1,2,1,9,3,0,4,11,2,2,3,9,9,39,1,26,27,10,1,6,23,1,3,2,13,2,16,9,1,1,1,4,2,6,3,1,17,3,10,17,3,29,10,4,10,6,9,0,8,32,6,52,2,7,2,2,11,120,15,25,20,1,10,1,0,7,4,3,6,6,5,4,2,18,61,30,30,30,2,3,1,3,0
"Pédiatrie","Salariés hospitaliers",4291,4101,190,500,148,193,144,8,307,28,30,401,1197,90,24,18,197,252,282,184,288,14,26,11,2,9,68,9,10,7,9,7,10,152,51,4,8,30,7,8,3,5,45,24,4,9,47,26,9,19,59,26,90,6,69,80,73,6,69,81,9,14,11,51,1,86,32,3,13,1,55,30,49,7,9,73,4,37,36,4,210,40,12,81,50,29,9,21,67,40,177,5,20,20,33,43,558,95,57,79,11,44,16,6,35,22,14,31,26,12,7,11,52,125,106,148,72,28,24,30,90,18
"Pédiatrie","Autres salariés",758,738,20,66,19,22,11,3,53,1,1,66,231,12,4,2,28,70,66,27,76,1,4,1,1,3,15,2,1,2,3,5,4,40,8,0,4,6,1,1,2,1,8,3,2,4,2,7,3,1,5,5,16,2,37,17,10,1,1,7,0,3,1,5,3,14,6,1,3,0,5,3,4,0,1,13,2,4,4,1,47,4,2,9,8,6,3,7,9,11,22,1,5,5,5,5,87,12,7,23,2,2,2,2,12,5,2,2,0,6,1,1,16,38,26,28,6,1,4,1,12,2
"Pneumologie","Ensemble des modes d'exercice",3090,3031,59,356,121,159,87,13,241,8,4,296,672,33,12,2,154,232,287,127,286,13,26,17,4,15,82,15,8,8,9,15,10,118,41,6,15,24,6,11,3,10,28,29,6,11,25,26,12,15,52,32,73,2,59,70,45,5,21,71,9,8,18,31,4,57,22,6,10,2,32,19,29,6,5,35,4,33,48,5,149,23,8,66,20,40,11,28,57,32,104,5,29,15,18,31,259,74,42,48,9,32,18,12,46,21,18,18,21,13,11,9,44,98,57,80,44,8,12,4,33,2
"Pneumologie","Libéraux exclusifs",782,766,16,88,21,43,25,7,60,1,2,54,92,9,4,0,25,74,120,44,113,4,4,3,1,1,34,5,3,3,2,4,1,43,6,2,4,7,1,4,2,5,3,7,0,5,6,9,1,1,12,11,37,0,22,31,14,1,6,15,2,1,7,4,0,24,9,2,7,0,10,3,7,1,3,10,0,10,10,1,25,5,3,14,7,15,4,15,16,10,28,1,4,2,5,6,18,12,5,11,1,6,7,5,26,8,5,3,5,1,2,2,10,24,5,11,8,1,4,2,9,0
"Pneumologie","Mixtes",492,484,8,53,28,15,9,1,52,3,0,54,95,3,2,0,27,45,39,19,47,4,11,4,0,2,15,1,2,1,0,2,3,21,7,1,1,6,2,2,1,0,7,4,2,1,5,2,2,2,3,2,6,1,8,14,5,1,2,17,1,5,2,6,0,3,0,0,1,1,1,2,6,2,1,4,2,3,9,1,18,3,2,15,2,11,3,2,18,5,6,1,5,8,2,8,31,14,14,7,3,7,2,2,4,5,6,1,4,4,6,2,10,6,10,12,5,3,2,0,3,0
"Pneumologie","Salariés hospitaliers",1681,1646,35,201,65,92,48,5,128,4,2,169,449,21,6,2,99,106,113,61,110,5,11,9,2,11,26,7,3,2,7,8,4,49,27,3,10,10,2,4,0,5,16,15,4,5,12,12,9,11,35,14,28,1,28,23,25,3,12,37,6,2,8,19,4,29,12,4,1,1,20,13,16,3,1,21,2,17,28,3,93,12,3,35,10,11,4,10,23,17,68,3,18,4,11,16,192,47,20,28,5,18,9,5,15,7,7,14,12,8,3,4,24,63,40,53,29,4,6,2,21,2
"Pneumologie","Autres salariés",135,135,0,14,7,9,5,0,1,0,0,19,36,0,0,0,3,7,15,3,16,0,0,1,1,1,7,2,0,2,0,1,2,5,1,0,0,1,1,1,0,0,2,3,0,0,2,3,0,1,2,5,2,0,1,2,1,0,1,2,0,0,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,3,1,0,13,3,0,2,1,3,0,1,0,0,2,0,2,1,0,1,18,1,3,2,0,1,0,0,1,1,0,0,0,0,0,1,0,5,2,4,2,0,0,0,0,0
"Psychiatrie","Ensemble des modes d'exercice",15388,15107,281,1820,513,623,408,66,971,50,17,983,4444,144,60,10,545,1299,1311,654,1470,61,74,49,23,22,364,51,25,19,30,61,42,717,145,14,43,94,39,31,32,34,128,87,20,55,126,76,65,48,191,136,396,31,549,336,228,25,153,296,38,54,51,141,33,311,92,31,41,13,171,62,114,21,36,161,15,117,151,26,522,115,33,170,169,165,40,96,283,128,706,47,77,75,88,136,2155,240,203,376,42,102,72,38,202,142,61,95,110,43,47,24,256,400,344,458,252,50,60,17,144,10
"Psychiatrie","Libéraux exclusifs",4623,4569,54,526,123,176,124,26,247,9,3,162,1427,36,6,0,108,429,458,187,576,4,13,8,7,4,169,7,6,3,5,17,4,270,25,1,13,23,9,7,9,17,25,21,4,15,34,27,15,6,53,51,174,6,234,135,67,7,57,100,7,17,23,37,4,93,22,5,11,1,53,8,33,2,9,37,2,35,22,7,90,19,3,22,51,62,13,28,106,28,198,6,21,20,29,60,939,57,46,93,7,18,14,7,94,32,12,20,16,6,16,7,41,150,40,68,50,9,6,3,36,0
"Psychiatrie","Mixtes",1827,1818,9,219,58,47,35,6,148,1,0,69,643,6,2,0,44,140,150,67,192,6,15,9,4,1,45,2,5,4,3,6,5,116,14,1,3,7,6,4,5,1,19,6,5,8,11,2,2,2,16,7,50,2,74,58,20,1,6,47,7,2,10,20,5,32,10,2,2,2,19,3,7,0,6,25,1,5,23,4,27,3,2,16,20,14,3,6,55,19,93,2,9,4,5,9,428,23,25,26,1,8,4,1,14,12,6,5,15,10,5,1,27,38,32,37,30,1,2,0,6,0
"Psychiatrie","Salariés hospitaliers",7735,7533,202,974,288,352,222,29,517,38,14,655,2015,92,48,10,333,620,569,362,597,50,40,28,10,14,127,40,5,12,19,27,31,284,85,9,24,54,18,16,14,15,70,56,8,27,70,38,41,37,107,58,143,19,203,104,120,14,83,134,22,28,15,79,21,172,55,17,23,7,95,45,67,16,18,81,11,69,98,11,348,82,22,122,87,70,20,55,117,77,381,37,42,39,52,55,634,140,116,228,31,63,48,28,77,85,38,65,71,26,23,13,161,171,235,325,145,38,48,14,92,10
"Psychiatrie","Autres salariés",1203,1187,16,101,44,48,27,5,59,2,0,97,359,10,4,0,60,110,134,38,105,1,6,4,2,3,23,2,9,0,3,11,2,47,21,3,3,10,6,4,4,1,14,4,3,5,11,9,7,3,15,20,29,4,38,39,21,3,7,15,2,7,3,5,3,14,5,7,5,3,4,6,7,3,3,18,1,8,8,4,57,11,6,10,11,19,4,7,5,4,34,2,5,12,2,12,154,20,16,29,3,13,6,2,17,13,5,5,8,1,3,3,27,41,37,28,27,2,4,0,10,0
"Radiodiagnostic et imagerie médicale","Ensemble des modes d'exercice",8885,8702,183,1043,311,354,299,40,711,34,14,759,2067,98,32,5,354,759,819,350,836,46,50,36,14,21,235,33,26,14,26,58,29,339,96,9,34,79,26,19,22,18,84,42,5,31,73,46,30,40,94,106,227,14,289,200,137,15,105,165,23,47,35,92,16,154,78,16,28,5,75,47,76,18,23,123,17,81,106,25,426,72,27,144,94,109,24,66,199,91,341,16,50,41,62,103,817,154,126,151,29,67,40,20,149,78,57,49,40,29,28,12,124,287,171,267,124,34,32,14,98,5
"Radiodiagnostic et imagerie médicale","Libéraux exclusifs",4958,4842,116,605,190,206,174,31,364,22,6,408,887,69,17,2,189,499,512,203,574,37,19,23,5,8,158,15,12,4,16,36,12,221,47,5,15,43,17,8,18,13,49,26,3,25,41,28,19,23,46,73,138,9,205,112,86,9,58,104,18,36,23,51,8,101,44,7,20,3,40,24,29,15,13,47,11,48,53,20,231,41,13,85,37,78,16,61,115,53,190,15,26,21,34,73,273,86,75,97,18,32,25,16,114,68,28,24,24,13,13,8,69,140,76,84,73,22,17,6,69,2
